dataset,seed,method,e1_n_eval,e1_accuracy,e1_macro_f1,e1_supported_f1,e1_contradiction_f1,e2_n_eval,e2_accuracy,e2_macro_f1,e2_non_support_f1,e2_supported_f1,skipped
scifact,11,A_tfidf_claim_evidence,171,0.3216374269005848,0.32913448207565854,0.40641711229946526,0.2518518518518518,271,0.5424354243542435,0.5087134502923977,0.6374269005847953,0.38,False
scifact,11,B_tfidf_claim_only,171,0.28654970760233917,0.30590577305905775,0.36363636363636365,0.24817518248175183,271,0.4870848708487085,0.45262071871775866,0.5899705014749262,0.31527093596059114,False
scifact,11,C_nli_cross_encoder,171,0.672514619883041,0.6766884147416681,0.8113207547169812,0.5420560747663551,271,0.5940959409594095,0.5934260774686306,0.5769230769230769,0.6099290780141844,False
scifact,11,D_r4_compatible,171,0.3391812865497076,0.34287925696594423,0.42105263157894735,0.2647058823529412,271,0.5313653136531366,0.5036844761698752,0.6208955223880597,0.3864734299516908,False
scifact,22,A_tfidf_claim_evidence,171,0.32748538011695905,0.3392297542470724,0.4148936170212766,0.26356589147286824,271,0.5387453874538746,0.5077524448900708,0.6312684365781711,0.3842364532019704,False
scifact,22,B_tfidf_claim_only,171,0.3157894736842105,0.3362028352391966,0.4088397790055249,0.26356589147286824,271,0.5129151291512916,0.4831830790568654,0.6071428571428571,0.3592233009708738,False
scifact,22,C_nli_cross_encoder,171,0.6783625730994152,0.687296858071506,0.8169014084507042,0.5576923076923077,271,0.5940959409594095,0.5931597335953707,0.5736434108527132,0.6126760563380281,False
scifact,22,D_r4_compatible,171,0.36257309941520466,0.36633900743227044,0.4536082474226804,0.27906976744186046,271,0.5461254612546126,0.5227302014575965,0.6283987915407855,0.41706161137440756,False
scifact,33,A_tfidf_claim_evidence,171,0.3157894736842105,0.32674428005497613,0.3978494623655914,0.2556390977443609,271,0.5387453874538746,0.5037139048009728,0.6355685131195336,0.37185929648241206,False
scifact,33,B_tfidf_claim_only,171,0.2982456140350877,0.3178769075968472,0.38202247191011235,0.2537313432835821,271,0.4944649446494465,0.4625895635810957,0.5934718100890207,0.33170731707317075,False
scifact,33,C_nli_cross_encoder,171,0.6842105263157895,0.6900611071171818,0.822429906542056,0.5576923076923077,271,0.5977859778597786,0.5967096730152228,0.5758754863813229,0.6175438596491228,False
scifact,33,D_r4_compatible,171,0.34502923976608185,0.3479930191972077,0.4293193717277487,0.26666666666666666,271,0.5350553505535055,0.5084926301243666,0.6227544910179641,0.3942307692307692,False
scifact,44,A_tfidf_claim_evidence,171,0.32748538011695905,0.33526635738281874,0.4148936170212766,0.2556390977443609,271,0.5498154981549815,0.5166374269005848,0.6432748538011696,0.39,False
scifact,44,B_tfidf_claim_only,171,0.28654970760233917,0.30774410774410776,0.36363636363636365,0.2518518518518518,271,0.4907749077490775,0.45547466511357015,0.5941176470588235,0.31683168316831684,False
scifact,44,C_nli_cross_encoder,171,0.7192982456140351,0.7088261253309797,0.8545454545454545,0.5631067961165048,271,0.6309963099630996,0.6295384951881016,0.6062992125984252,0.6527777777777778,False
scifact,44,D_r4_compatible,171,0.3508771929824561,0.3520833333333333,0.4375,0.26666666666666666,271,0.5461254612546126,0.5193164611723988,0.6328358208955224,0.4057971014492754,False
scifact,55,A_tfidf_claim_evidence,171,0.3333333333333333,0.34445271164021163,0.42328042328042326,0.265625,271,0.5498154981549815,0.5186080372743157,0.6411764705882353,0.39603960396039606,False
scifact,55,B_tfidf_claim_only,171,0.29239766081871343,0.3172099087353325,0.3728813559322034,0.26153846153846155,271,0.4944649446494465,0.46049667959951757,0.5958702064896755,0.3251231527093596,False
scifact,55,C_nli_cross_encoder,171,0.6842105263157895,0.6847998589314054,0.822429906542056,0.5471698113207547,271,0.6051660516605166,0.6043903570405338,0.5868725868725869,0.6219081272084805,False
scifact,55,D_r4_compatible,171,0.36257309941520466,0.3652656621728787,0.4536082474226804,0.27692307692307694,271,0.5535055350553506,0.5288446341077919,0.6366366366366366,0.42105263157894735,False
