transition,count
contradiction_candidate_to_contradiction_candidate,159
contradiction_candidate_to_strong_action_overclaim,1
mild_scope_overclaim_to_mild_scope_overclaim,25
mild_scope_overclaim_to_strong_action_overclaim,24
mild_scope_overclaim_to_supported,17
strong_action_overclaim_to_contradiction_candidate,14
strong_action_overclaim_to_mild_scope_overclaim,27
strong_action_overclaim_to_strong_action_overclaim,64
strong_action_overclaim_to_supported,12
supported_to_mild_scope_overclaim,43
supported_to_strong_action_overclaim,98
supported_to_supported,156
